TYPE,FILENAME,PART,OUR VALS,NOTES
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6107,100,Digikey vals: ['70']
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6109,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6111,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6288,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6290,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_2N6107,2N6292,100,Digikey parts: {'2N6107': ['70']}
FP,CENTRALSEMICONDUCTORCORP_CJD122TR13,CJD122,100,Digikey parts: {'CJD122TR13': ['100']}
FP,CENTRALSEMICONDUCTORCORP_CJD122TR13,CJD127,100,Digikey parts: {'CJD122TR13': ['100']}
FP,CENTRALSEMICONDUCTORCORP_CJD13003TR13,CJD13003,400,Digikey parts: {'CJD13003TR13': ['400']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD47,250,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD47,400,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD50,250,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD50,400,Digikey parts: {'CJD47TR13': ['250']}
FP,CENTRALSEMICONDUCTORCORP_CMPT4403TR,CMPT4401,40,Digikey parts: {'CMPT4403TR': ['40']}
FP,CENTRALSEMICONDUCTORCORP_CMPT4403TR,CMPT4403,40,Digikey parts: {'CMPT4403TR': ['40']}
FP,CENTRALSEMICONDUCTORCORP_CMPTA56TR,CMPTA06,80,Digikey parts: {'CMPTA56TR': ['80']}
FP,CENTRALSEMICONDUCTORCORP_CMPTA56TR,CMPTA56,80,Digikey parts: {'CMPTA56TR': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65A,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65A,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,BDV65B,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40D,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40M,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40M,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,CQ218I-40N,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,100,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35,80,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,100,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35A,80,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35B,100,Digikey vals: ['80']
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35B,40,Digikey vals: ['80']
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35B,60,Digikey vals: ['80']
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35C,40,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP35C,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP36,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP35B,TIP36A,60,Digikey parts: {'TIP35B': ['80']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65A,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65A,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,BDV65B,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,CQ218I-40D,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,CQ218I-40M,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,CQ218I-40M,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,CQ218I-40N,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35,100,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35,80,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35A,100,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35A,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35A,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35A,80,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35B,100,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35B,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35B,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35B,80,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35C,40,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP35C,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP36,60,Digikey parts: {'TIP36CSL': ['100']}
FP,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP36A,60,Digikey parts: {'TIP36CSL': ['100']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907,40,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907,60,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907A,40,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907A,60,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907AR,40,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907AR,60,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907R,40,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT2907ATA,FMMT2907R,60,Digikey parts: {'FMMT2907ATA': ['60']}
FP,DIODESINCORPORATED_FMMT614TA,AP02001,100,Digikey parts: {'FMMT614TA': ['100']}
FP,DIODESINCORPORATED_FMMT614TA,FMMT614,100,Digikey parts: {'FMMT614TA': ['100']}
FP,DIODESINCORPORATED_FMMT614TA,FMMT614Q,100,Digikey parts: {'FMMT614TA': ['100']}
FP,DIODESINCORPORATED_FMMT614TA,FMMT614TC,100,Digikey parts: {'FMMT614TA': ['100']}
FP,DIODESINCORPORATED_FZT549TA,AP02001,30,Digikey parts: {'FZT549TA': ['30']}
FP,DIODESINCORPORATED_FZT549TA,AP02002,30,Digikey parts: {'FZT549TA': ['30']}
FP,DIODESINCORPORATED_FZT549TA,FZT549,30,Digikey parts: {'FZT549TA': ['30']}
FP,DIODESINCORPORATED_FZT558,AP02001,400,Digikey parts: {'FZT558': ['400']}
FP,DIODESINCORPORATED_FZT558,AP02002,400,Digikey parts: {'FZT558': ['400']}
FP,DIODESINCORPORATED_FZT558,FZT458,400,Digikey parts: {'FZT558': ['400']}
FP,DIODESINCORPORATED_FZT558,FZT558TA,400,Digikey parts: {'FZT558': ['400']}
FP,DIODESINCORPORATED_FZT751TC,AP02001,60,Digikey parts: {'FZT751TC': ['60']}
FP,DIODESINCORPORATED_FZT751TC,AP02002,60,Digikey parts: {'FZT751TC': ['60']}
FP,DIODESINCORPORATED_FZT751TC,FZT651,60,Digikey parts: {'FZT751TC': ['60']}
FP,DIODESINCORPORATED_FZT751TC,FZT751,60,Digikey parts: {'FZT751TC': ['60']}
FP,DIODESINCORPORATED_FZT751TC,FZT751TA,60,Digikey parts: {'FZT751TC': ['60']}
FP,DIODESINCORPORATED_FZT855TC,AP02001,150,Digikey parts: {'FZT855TC': ['150']}
FP,DIODESINCORPORATED_FZT855TC,AP02002,150,Digikey parts: {'FZT855TC': ['150']}
FP,DIODESINCORPORATED_FZT855TC,FZT855,150,Digikey parts: {'FZT855TC': ['150']}
FP,DIODESINCORPORATED_FZT855TC,FZT955,150,Digikey parts: {'FZT855TC': ['150']}
FP,DIODESINCORPORATED_ZXTN25020DFHTA,ZXTN25020DFH,20,Digikey parts: {'ZXTN25020DFHTA': ['20']}
FP,ONSEMICONDUCTOR_2N3773G,2N3773,140,Digikey parts: {'2N3773G': ['140']}
FP,ONSEMICONDUCTOR_2N5401RLRAG,2N5401,150,Digikey parts: {'2N5401RLRAG': ['150']}
FP,ONSEMICONDUCTOR_2N5401RLRAG,2N5401G,150,Digikey parts: {'2N5401RLRAG': ['150']}
FP,ONSEMICONDUCTOR_BC307BRL1G,BC307,45,Digikey parts: {'BC307BRL1G': ['45']}
FP,ONSEMICONDUCTOR_BC307BRL1G,BC307B,45,Digikey parts: {'BC307BRL1G': ['45']}
FP,ONSEMICONDUCTOR_BUH50G,BUH50,500,Digikey parts: {'BUH50G': ['500']}
FP,ONSEMICONDUCTOR_BUH50G,BUH50G,100,Digikey vals: ['500']
FP,ONSEMICONDUCTOR_BUL146FG,BUL146,100,Digikey parts: {'BUL146FG': ['400']}
FP,ONSEMICONDUCTOR_BUL146FG,BUL146,400,Digikey parts: {'BUL146FG': ['400']}
FP,ONSEMICONDUCTOR_BUL146FG,BUL146F,100,Digikey parts: {'BUL146FG': ['400']}
FP,ONSEMICONDUCTOR_BUL146FG,BUL146F,400,Digikey parts: {'BUL146FG': ['400']}
FP,ONSEMICONDUCTOR_BUL146FG,BUL146FG,100,Digikey vals: ['400']
FP,ONSEMICONDUCTOR_BUL146FG,BUL146G,100,Digikey parts: {'BUL146FG': ['400']}
FP,ONSEMICONDUCTOR_BUL146FG,BUL146G,400,Digikey parts: {'BUL146FG': ['400']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD41C,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD41CRLG,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD41CT4G,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD42C,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD42C1G,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD42CG,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,MJD42CT4G,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,NJVMJD41CT4G,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,NJVMJD42CRLG,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,NJVMJD42CT4G,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJD42CRLG,TIP41,100,Digikey parts: {'MJD42CRLG': ['100']}
FP,ONSEMICONDUCTOR_MJE15034,MJE15035,350,Digikey parts: {'MJE15034': ['350']}
FP,ONSEMICONDUCTOR_MJE15034,MJE1503X,350,Digikey parts: {'MJE15034': ['350']}
FP,ONSEMICONDUCTOR_MJE15034,MJE1503XG,350,Digikey parts: {'MJE15034': ['350']}
FP,ONSEMICONDUCTOR_MJE3439G,MJE3439,350,Digikey parts: {'MJE3439G': ['350']}
FP,ONSEMICONDUCTOR_MJF15030,MJF15031,150,Digikey parts: {'MJF15030': ['150']}
FP,ONSEMICONDUCTOR_MJF15030,MJF1503X,150,Digikey parts: {'MJF15030': ['150']}
FP,ONSEMICONDUCTOR_MJF15030,MJF1503XG,150,Digikey parts: {'MJF15030': ['150']}
FP,ONSEMICONDUCTOR_MPS8098RLRAG,MPS8098,80,Digikey parts: {'MPS8098RLRAG': ['60']}
FP,ONSEMICONDUCTOR_NJL1302D,NJL3281D,260,Digikey parts: {'NJL1302D': ['260']}
FP,ONSEMICONDUCTOR_NJL4281DG,NJL4281D,350,Digikey parts: {'NJL4281DG': ['350']}
FP,ROHMSEMICONDUCTOR_2SD2033AT114E,2SD2033A,160,Digikey parts: {'2SD2033AT114E': ['160']}
FP,ROHMSEMICONDUCTOR_2SD2118TLQ,2SB1326,20,Digikey parts: {'2SD2118TLQ': ['20']}
FP,ROHMSEMICONDUCTOR_2SD2118TLQ,2SB1386,20,Digikey parts: {'2SD2118TLQ': ['20']}
FP,ROHMSEMICONDUCTOR_2SD2118TLQ,2SB1412,20,Digikey parts: {'2SD2118TLQ': ['20']}
FP,ROHMSEMICONDUCTOR_2SD2118TLQ,2SD2097,20,Digikey parts: {'2SD2118TLQ': ['20']}
FP,ROHMSEMICONDUCTOR_2SD2118TLQ,2SD2098,20,Digikey parts: {'2SD2118TLQ': ['20']}
FP,ROHMSEMICONDUCTOR_2SD2118TLQ,2SD2118,20,Digikey parts: {'2SD2118TLQ': ['20']}
FP,STMICROELECTRONICS_2N3906,2N3904,40,Digikey parts: {'2N3906': ['40']}
FP,STMICROELECTRONICS_2N3906,2N3906-AP,40,Digikey parts: {'2N3906': ['40']}
FP,STMICROELECTRONICS_2N5415,2N5415,300,Digikey vals: ['200']
FP,STMICROELECTRONICS_2N5415,2N5416,200,Digikey parts: {'2N5415': ['200']}
FP,STMICROELECTRONICS_2N5415,2N5416,300,Digikey parts: {'2N5415': ['200']}
FP,STMICROELECTRONICS_2STC5948,2STA2120,250,Digikey parts: {'2STC5948': ['250']}
FP,STMICROELECTRONICS_2STN2360,2STD2360T4,60,Digikey parts: {'2STN2360': ['60']}
FP,STMICROELECTRONICS_2STN2360,2STF2360,60,Digikey parts: {'2STN2360': ['60']}
FP,STMICROELECTRONICS_BD235,BD235,80,Digikey vals: ['60']
FP,STMICROELECTRONICS_BD235,BD237,60,Digikey parts: {'BD235': ['60']}
FP,STMICROELECTRONICS_BD235,BD237,80,Digikey parts: {'BD235': ['60']}
FP,STMICROELECTRONICS_BD235,BD238,60,Digikey parts: {'BD235': ['60']}
FP,STMICROELECTRONICS_BD235,BD238,80,Digikey parts: {'BD235': ['60']}
FP,STMICROELECTRONICS_BU807,BU806,150,Digikey parts: {'BU807': ['150']}
FP,STMICROELECTRONICS_BU807,BU806,200,Digikey parts: {'BU807': ['150']}
FP,STMICROELECTRONICS_BU807,BU807,200,Digikey vals: ['150']
FP,STMICROELECTRONICS_MJD32CT4,AM08850V1,100,Digikey parts: {'MJD32CT4': ['100']}
FP,STMICROELECTRONICS_MJD32CT4,AM08851V2,100,Digikey parts: {'MJD32CT4': ['100']}
FP,STMICROELECTRONICS_MJD32CT4,AM08852V1,100,Digikey parts: {'MJD32CT4': ['100']}
FP,STMICROELECTRONICS_MJD32CT4,MJD31C,100,Digikey parts: {'MJD32CT4': ['100']}
FP,STMICROELECTRONICS_MJD32CT4,MJD32C,100,Digikey parts: {'MJD32CT4': ['100']}
FP,STMICROELECTRONICS_SO692,SO642,300,Digikey parts: {'SO692': ['300']}
FP,STMICROELECTRONICS_STD13003T4,STD13003,400,Digikey parts: {'STD13003T4': ['400']}
FP,STMICROELECTRONICS_STD790AT4,STD790A,30,Digikey parts: {'STD790AT4': ['30']}
FP,STMICROELECTRONICS_STN9260,AM10060V1,600,Digikey parts: {'STN9260': ['600']}
FP,STMICROELECTRONICS_STX83003,ST83003,400,Digikey parts: {'STX83003': ['400']}
FP,STMICROELECTRONICS_STX83003,STX93003,400,Digikey parts: {'STX83003': ['400']}
FN,CENTRALSEMICONDUCTORCORP_2N1480,2N1480,55,Digikey vals: ['55']
FN,CENTRALSEMICONDUCTORCORP_2N2925,2N2925,25,Digikey vals: ['25']
FN,CENTRALSEMICONDUCTORCORP_2N3440,2N3440,250,Digikey vals: ['250']
FN,CENTRALSEMICONDUCTORCORP_2N3708,2N3708,30,Digikey vals: ['30']
FN,CENTRALSEMICONDUCTORCORP_2N4923,2N4923,80,Digikey vals: ['80']
FN,CENTRALSEMICONDUCTORCORP_2N6107,2N6107,70,Digikey vals: ['70']
FN,CENTRALSEMICONDUCTORCORP_BDW84A,BDW84A,60,Digikey vals: ['60']
FN,CENTRALSEMICONDUCTORCORP_CJD122TR13,CJD122TR13,100,Digikey vals: ['100']
FN,CENTRALSEMICONDUCTORCORP_CJD13003TR13,CJD13003TR13,400,Digikey vals: ['400']
FN,CENTRALSEMICONDUCTORCORP_CJD47TR13,CJD47TR13,250,Digikey vals: ['250']
FN,CENTRALSEMICONDUCTORCORP_CMPT4403TR,CMPT4403TR,40,Digikey vals: ['40']
FN,CENTRALSEMICONDUCTORCORP_CMPT5401BK,CMPT5401BK,150,Digikey vals: ['150']
FN,CENTRALSEMICONDUCTORCORP_CMPT5401TR,CMPT5401TR,150,Digikey vals: ['150']
FN,CENTRALSEMICONDUCTORCORP_CMPTA44TR,CMPTA44TR,400,Digikey vals: ['400']
FN,CENTRALSEMICONDUCTORCORP_CMPTA56TR,CMPTA56TR,80,Digikey vals: ['80']
FN,CENTRALSEMICONDUCTORCORP_CXT5551EBK,CXT5551EBK,220,Digikey vals: ['220']
FN,CENTRALSEMICONDUCTORCORP_MJE13005,MJE13005,400,Digikey vals: ['400']
FN,CENTRALSEMICONDUCTORCORP_TIP101,TIP101,80,Digikey vals: ['80']
FN,CENTRALSEMICONDUCTORCORP_TIP125,TIP125,60,Digikey vals: ['60']
FN,CENTRALSEMICONDUCTORCORP_TIP136,TIP136,80,Digikey vals: ['80']
FN,CENTRALSEMICONDUCTORCORP_TIP36CSL,TIP36CSL,100,Digikey vals: ['100']
FN,DIODESINCORPORATED_BST40TA,BST40TA,250,Digikey vals: ['250']
FN,DIODESINCORPORATED_FMMT2907ATA,FMMT2907ATA,60,Digikey vals: ['60']
FN,DIODESINCORPORATED_FMMT489TA,FMMT489TA,30,Digikey vals: ['30']
FN,DIODESINCORPORATED_FMMT589TA,FMMT589TA,30,Digikey vals: ['30']
FN,DIODESINCORPORATED_FMMT634TA,FMMT634TA,100,Digikey vals: ['100']
FN,DIODESINCORPORATED_FZT1149ATA,FZT1149ATA,25,Digikey vals: ['25']
FN,DIODESINCORPORATED_FZT855TC,FZT855TC,150,Digikey vals: ['150']
FN,DIODESINCORPORATED_FZT949TA,FZT949TA,30,Digikey vals: ['30']
FN,DIODESINCORPORATED_ZTX457STZ,ZTX457STZ,300,Digikey vals: ['300']
FN,DIODESINCORPORATED_ZUMT617TA,ZUMT617TA,15,Digikey vals: ['15']
FN,DIODESINCORPORATED_ZX5T949ZTA,ZX5T949ZTA,30,Digikey vals: ['30']
FN,DIODESINCORPORATED_ZX5T955GTA,ZX5T955GTA,140,Digikey vals: ['140']
FN,DIODESINCORPORATED_ZXT13N50DE6TA,ZXT13N50DE6TA,50,Digikey vals: ['50']
FN,DIODESINCORPORATED_ZXT849KTC,ZXT849KTC,30,Digikey vals: ['30']
FN,DIODESINCORPORATED_ZXTN25100DZTA,ZXTN25100DZTA,100,Digikey vals: ['100']
FN,DIODESINCORPORATED_ZXTN4002ZTA,ZXTN4002ZTA,100,Digikey vals: ['100']
FN,DIODESINCORPORATED_ZXTN617MATA,ZXTN617MATA,15,Digikey vals: ['15']
FN,DIODESINCORPORATED_ZXTP2009ZTA,ZXTP2009ZTA,40,Digikey vals: ['40']
FN,DIODESINCORPORATED_ZXTP2041FTA,ZXTP2041FTA,40,Digikey vals: ['40']
FN,MICROSEMICORPORATION_2N4029,2N4029,80,Digikey vals: ['80']
FN,ONSEMICONDUCTOR_2N5550G,2N5550G,140,Digikey vals: ['140']
FN,ONSEMICONDUCTOR_2SA1020RLRAG,2SA1020RLRAG,50,Digikey vals: ['50']
FN,ONSEMICONDUCTOR_BC550C,BC550C,45,Digikey vals: ['45']
FN,ONSEMICONDUCTOR_BC560C,BC560C,45,Digikey vals: ['45']
FN,ONSEMICONDUCTOR_BCW30LT1G,BCW30LT1G,32,Digikey vals: ['32']
FN,ONSEMICONDUCTOR_BCW65CLT1,BCW65CLT1,32,Digikey vals: ['32']
FN,ONSEMICONDUCTOR_BUV22,BUV22,250,Digikey vals: ['250']
FN,ONSEMICONDUCTOR_MPS8098RLRAG,MPS8098RLRAG,60,Digikey vals: ['60']
FN,ONSEMICONDUCTOR_NJL4281DG,NJL4281DG,350,Digikey vals: ['350']
FN,ONSEMICONDUCTOR_NSS20501UW3TBG,NSS20501UW3TBG,20,Digikey vals: ['20']
FN,ONSEMICONDUCTOR_NSV1C201MZ4T1G,NSV1C201MZ4T1G,100,Digikey vals: ['100']
FN,ONSEMICONDUCTOR_SBCW33LT1G,SBCW33LT1G,32,Digikey vals: ['32']
FN,ROHMSEMICONDUCTOR_2SB1236TV2R,2SB1236TV2R,120,Digikey vals: ['120']
FN,ROHMSEMICONDUCTOR_2SD2033AT114E,2SD2033AT114E,160,Digikey vals: ['160']
FN,ROHMSEMICONDUCTOR_2SD2118TLQ,2SD2118TLQ,20,Digikey vals: ['20']
FN,SANKEN_2SA1186,2SA1186,150,Digikey vals: ['150']
FN,SANKEN_2SA1909,2SA1909,140,Digikey vals: ['140']
FN,SANKEN_2SC4518,2SC4518,550,Digikey vals: ['550']
FN,SANKEN_2SC5099,2SC5099,80,Digikey vals: ['80']
FN,STMICROELECTRONICS_2STN2360,2STN2360,60,Digikey vals: ['60']
FN,STMICROELECTRONICS_STD13003T4,STD13003T4,400,Digikey vals: ['400']
